league,season,tm_name,value_eur_m
epl,2017,Manchester City,1010.0
epl,2017,Chelsea FC,884.25
epl,2017,Liverpool FC,857.5
epl,2017,Manchester United,849.5
epl,2017,Tottenham Hotspur,829.6
epl,2017,Arsenal FC,694.0
epl,2017,Everton FC,381.25
epl,2017,Leicester City,304.25
epl,2017,Southampton FC,297.0
epl,2017,West Ham United,268.1
epl,2017,Crystal Palace,220.73
epl,2017,Newcastle United,208.28
epl,2017,Watford FC,196.0
epl,2017,Stoke City,192.45
epl,2017,Burnley FC,169.3
epl,2017,West Bromwich Albion,165.95
epl,2017,Swansea City,165.49
epl,2017,Brighton &amp; Hove Albion,148.2
epl,2017,AFC Bournemouth,144.5
epl,2017,Huddersfield Town,106.05
epl,2018,Manchester City,1200.0
epl,2018,Liverpool FC,1170.0
epl,2018,Chelsea FC,1170.0
epl,2018,Tottenham Hotspur,898.6
epl,2018,Manchester United,797.6
epl,2018,Arsenal FC,659.05
epl,2018,Everton FC,529.1
epl,2018,Leicester City,434.1
epl,2018,West Ham United,359.0
epl,2018,AFC Bournemouth,310.0
epl,2018,Southampton FC,305.4
epl,2018,Wolverhampton Wanderers,302.9
epl,2018,Crystal Palace,289.0
epl,2018,Fulham FC,254.25
epl,2018,Newcastle United,244.65
epl,2018,Watford FC,239.1
epl,2018,Burnley FC,197.25
epl,2018,Brighton &amp; Hove Albion,194.35
epl,2018,Huddersfield Town,137.45
epl,2018,Cardiff City,113.0
epl,2019,Manchester City,1050.0
epl,2019,Liverpool FC,1000.0
epl,2019,Tottenham Hotspur,806.8
epl,2019,Chelsea FC,705.85
epl,2019,Manchester United,670.45
epl,2019,Arsenal FC,607.65
epl,2019,Everton FC,420.55
epl,2019,Leicester City,411.1
epl,2019,Wolverhampton Wanderers,320.33
epl,2019,West Ham United,303.6
epl,2019,AFC Bournemouth,272.18
epl,2019,Newcastle United,252.48
epl,2019,Aston Villa,231.7
epl,2019,Southampton FC,210.75
epl,2019,Brighton &amp; Hove Albion,200.78
epl,2019,Watford FC,199.6
