season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,mid_value_pct,gk_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_mid,n_gk,league,canon_team_name,coverage_confidence
2026,Accrington Stanley,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2500000.0,0.21,0.51,0.28,0.0,-0.30000000000000004,25.92,26.0,0.31,23,7,8,6,2,GB4,Accrington Stanley,full
2026,Barnet FC,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2750000.0,0.15454545454545454,0.5727272727272728,0.20909090909090908,0.06363636363636363,-0.4181818181818182,25.90909090909091,24.61904761904762,0.4090909090909091,21,6,9,5,1,GB4,Barnet,full
2026,Bristol Rovers,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,6500000.0,0.33076923076923076,0.3923076923076923,0.18461538461538463,0.09230769230769231,-0.06153846153846154,25.78846153846154,26.344827586206897,0.18461538461538463,29,10,10,6,3,GB4,Bristol Rovers,full
2026,Cheltenham Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2075000.0,0.10843373493975904,0.37349397590361444,0.4939759036144578,0.024096385542168676,-0.2650602409638554,27.19277108433735,25.72222222222222,0.3373493975903614,18,3,7,6,2,GB4,Cheltenham Town,full
2026,Chesterfield FC,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,3750000.0,0.3333333333333333,0.2733333333333333,0.26666666666666666,0.12666666666666668,0.06,26.393333333333334,27.05,0.32,20,5,7,6,2,GB4,Chesterfield,full
2026,Colchester United,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2600000.0,0.3942307692307692,0.46153846153846156,0.11538461538461539,0.028846153846153848,-0.06730769230769235,26.653846153846153,25.75,0.34615384615384615,16,5,8,2,1,GB4,Colchester United,full
2026,Crawley Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2550000.0,0.22549019607843138,0.4411764705882353,0.3333333333333333,0.0,-0.2156862745098039,25.42156862745098,25.4,0.30392156862745096,20,5,8,6,1,GB4,Crawley Town,full
2026,Crewe Alexandra,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,3400000.0,0.2647058823529412,0.3382352941176471,0.3235294117647059,0.07352941176470588,-0.0735294117647059,24.102941176470587,23.904761904761905,0.3088235294117647,21,6,6,7,2,GB4,Crewe Alexandra,full
2026,Exeter City,,2026-07-06T11:23:42.089471+00:00,current_scrape,1,3000000.0,0.4,0.35,0.19166666666666668,0.058333333333333334,0.050000000000000044,24.216666666666665,22.952380952380953,0.4,21,8,6,5,2,GB4,Exeter,full
2026,Fleetwood Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,14,2600000.0,0.10576923076923077,0.49038461538461536,0.3557692307692308,0.04807692307692308,-0.3846153846153846,25.557692307692307,26.526315789473685,0.3557692307692308,19,5,8,5,1,GB4,Fleetwood Town,full
2026,Gillingham FC,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,4025000.0,0.2546583850931677,0.3105590062111801,0.37267080745341613,0.062111801242236024,-0.05590062111801242,26.167701863354036,25.541666666666668,0.2732919254658385,24,6,6,9,3,GB4,Gillingham,full
2026,Grimsby Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,3900000.0,0.34615384615384615,0.48717948717948717,0.11538461538461539,0.05128205128205128,-0.14102564102564102,25.955128205128204,25.727272727272727,0.2948717948717949,22,9,9,2,2,GB4,Grimsby Town,full
2026,Newport County,,2026-07-06T11:23:42.089471+00:00,current_scrape,1,2175000.0,0.25287356321839083,0.5172413793103449,0.14942528735632185,0.08045977011494253,-0.26436781609195403,25.988505747126435,25.61904761904762,0.3103448275862069,21,8,8,3,2,GB4,Newport County,full
2026,Northampton Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,3425000.0,0.13138686131386862,0.49635036496350365,0.31386861313868614,0.058394160583941604,-0.36496350364963503,26.48175182481752,25.952380952380953,0.3357664233576642,21,6,8,4,3,GB4,Northampton,full
2026,Oldham Athletic,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2225000.0,0.34831460674157305,0.30337078651685395,0.25842696629213485,0.0898876404494382,0.0449438202247191,27.528089887640448,28.05263157894737,0.33707865168539325,19,6,5,6,2,GB4,Oldham Athletic,full
2026,Port Vale FC,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,6000000.0,0.11666666666666667,0.43333333333333335,0.38333333333333336,0.06666666666666667,-0.31666666666666665,25.725,25.857142857142858,0.325,21,3,7,9,2,GB4,Port Vale,full
2026,Rochdale AFC,,2026-07-06T11:23:42.089471+00:00,current_scrape,1,500000.0,0.65,0.35,0.0,0.0,0.30000000000000004,23.35,27.4,1.0,15,4,5,6,0,GB4,Rochdale,full
2026,Rotherham United,,2026-07-06T11:23:42.089471+00:00,current_scrape,3,525000.0,0.09523809523809523,0.0,0.9047619047619048,0.0,0.09523809523809523,23.428571428571427,22.6875,1.0,16,5,6,4,1,GB4,Rotherham,full
2026,Salford City,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,6200000.0,0.3467741935483871,0.2862903225806452,0.3064516129032258,0.06048387096774194,0.06048387096774194,27.403225806451612,26.91304347826087,0.29838709677419356,23,8,8,5,2,GB4,Salford City,full
2026,Shrewsbury Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2500000.0,0.14,0.59,0.23,0.04,-0.44999999999999996,25.79,25.318181818181817,0.31,22,5,10,6,1,GB4,Shrewsbury Town,full
2026,Swindon Town,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,3250000.0,0.3769230769230769,0.3,0.26153846153846155,0.06153846153846154,0.07692307692307693,26.23846153846154,26.04,0.34615384615384615,25,8,9,6,2,GB4,Swindon Town,full
2026,Tranmere Rovers,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2625000.0,0.17142857142857143,0.4095238095238095,0.3904761904761905,0.02857142857142857,-0.23809523809523808,26.35238095238095,27.352941176470587,0.29523809523809524,18,4,6,7,1,GB4,Tranmere Rovers,full
2026,Walsall FC,,2026-07-06T11:23:42.089471+00:00,current_scrape,0,2250000.0,0.18888888888888888,0.4444444444444444,0.36666666666666664,0.0,-0.25555555555555554,24.57777777777778,24.75,0.4111111111111111,16,3,6,6,1,GB4,Walsall,full
2026,York City,,2026-07-06T11:23:42.089471+00:00,current_scrape,3,1050000.0,0.2619047619047619,0.2619047619047619,0.47619047619047616,0.0,0.0,27.095238095238095,26.956521739130434,0.6428571428571429,23,8,9,5,1,GB4,York City,full
