season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_gk,league,canon_team_name,coverage_confidence
2024,1.FC Kaiserslautern,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,35600000.0,0.4550561797752809,0.3167134831460674,0.1383426966292135,24.735955056179776,24.885714285714286,0.33707865168539325,35,13,12,4,L2,Kaiserslautern,full
2024,1.FC Köln,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,77375000.0,0.33505654281098546,0.2468497576736672,0.08820678513731825,23.004523424878837,24.024390243902438,0.31017770597738287,41,14,12,6,L2,,full
2024,1.FC Magdeburg,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,30400000.0,0.524671052631579,0.3470394736842105,0.17763157894736847,24.613486842105264,24.583333333333332,0.34539473684210525,36,14,15,3,L2,1. FC Magdeburg,full
2024,1.FC Nuremberg,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,80725000.0,0.39083307525549704,0.387116754413131,0.003716320842366061,19.580675131619696,22.57894736842105,0.6069990709197894,38,14,13,4,L2,,full
2024,Eintracht Braunschweig,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,20125000.0,0.37515527950310557,0.27701863354037265,0.09813664596273292,24.775155279503107,24.236842105263158,0.2732919254658385,38,11,11,6,L2,TSV Eintracht Braunschweig,full
2024,FC Schalke 04,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,38150000.0,0.3944954128440367,0.34993446920052423,0.044560943643512485,23.887287024901703,24.326923076923077,0.3800786369593709,52,18,18,7,L2,Schalke 04,full
2024,Fortuna Düsseldorf,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,53525000.0,0.3269500233535731,0.2456795889771135,0.08127043437645959,23.172349369453528,23.925,0.3923400280242877,40,14,14,3,L2,Fortuna Düsseldorf,full
2024,Hamburger SV,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,64850000.0,0.525828835774865,0.30146491904394757,0.2243639167309175,24.090208172706244,24.10810810810811,0.26214340786430224,37,15,14,4,L2,,full
2024,Hannover 96,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,33000000.0,0.4954545454545455,0.2878787878787879,0.20757575757575758,22.80909090909091,24.366666666666667,0.4393939393939394,30,10,10,3,L2,Hannover 96,full
2024,Hertha BSC,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,57575000.0,0.5062961354754668,0.2996092053842814,0.20668693009118544,22.783326096396006,23.066666666666666,0.364741641337386,45,18,13,5,L2,,full
2024,Karlsruher SC,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,29625000.0,0.3341772151898734,0.3139240506329114,0.020253164556962022,22.960337552742615,23.88235294117647,0.3206751054852321,34,10,10,4,L2,Karlsruher SC,full
2024,Preußen Münster,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,13975000.0,0.3613595706618962,0.23971377459749552,0.12164579606440071,25.38819320214669,25.75,0.25760286225402507,32,12,8,4,L2,Preußen Münster,full
2024,SC Paderborn 07,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,38950000.0,0.3215661103979461,0.37997432605905007,-0.05840821566110399,22.193196405648266,23.8,0.3594351732991014,35,11,11,5,L2,SC Paderborn 07,full
2024,SSV Jahn Regensburg,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,12675000.0,0.3214990138067061,0.41025641025641024,-0.08875739644970415,24.067061143984223,24.324324324324323,0.22879684418145957,37,14,11,5,L2,,full
2024,SSV Ulm 1846,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,21900000.0,0.5365296803652968,0.182648401826484,0.3538812785388128,22.311643835616437,25.258064516129032,0.365296803652968,31,11,10,3,L2,,full
2024,SV 07 Elversberg,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,39450000.0,0.4892268694550063,0.29594423320659063,0.19328263624841568,22.05259822560203,25.285714285714285,0.5830164765525983,28,11,7,3,L2,SV 07 Elversberg,full
2024,SV Darmstadt 98,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,30550000.0,0.4451718494271686,0.32078559738134205,0.12438625204582654,24.356792144026187,25.2,0.3436988543371522,35,12,11,4,L2,SV Darmstadt 98,full
2024,SpVgg Greuther Fürth,,2026-07-06T01:30:46.563238+00:00,current_scrape,0,25750000.0,0.2621359223300971,0.441747572815534,-0.17961165048543692,23.16116504854369,23.542857142857144,0.2912621359223301,35,9,13,5,L2,SpVgg Greuther Fürth,full
