season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,mid_value_pct,gk_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_mid,n_gk,league,canon_team_name,coverage_confidence
2026,1.FC Köln,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,141200000.0,0.6147308781869688,0.2358356940509915,0.12393767705382436,0.025495750708215296,0.37889518413597734,22.85198300283286,25.137931034482758,0.5028328611898017,29,11,9,6,3,L1,FC Cologne,full
2026,1.FC Union Berlin,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,112875000.0,0.3537098560354374,0.42081949058693247,0.19933554817275748,0.026135105204872645,-0.06710963455149505,24.155703211517164,25.451612903225808,0.38981173864894797,31,12,10,6,3,L1,Union Berlin,full
2026,1.FSV Mainz 05,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,168400000.0,0.34441805225653205,0.2241686460807601,0.41270783847980996,0.018705463182897862,0.12024940617577196,24.96437054631829,26.451612903225808,0.4513064133016627,31,13,10,5,3,L1,Mainz 05,full
2026,Bayer 04 Leverkusen,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,513650000.0,0.5351893312566923,0.2702229144358999,0.1810571400759272,0.01353061423148058,0.2649664168207924,22.978681981894287,23.710526315789473,0.2530906259125864,38,18,10,7,3,L1,Bayer Leverkusen,full
2026,Bayern Munich,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,1048250000.0,0.49635106129263057,0.2845695206296208,0.18602432625804913,0.0330550918196995,0.21178154066300975,25.256331981874553,25.65625,0.3243501073217267,32,11,10,6,5,L1,Bayern Munich,full
2026,Borussia Dortmund,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,506700000.0,0.3108348134991119,0.3601736727846852,0.2342609038879021,0.09473060982830077,-0.0493388592855733,24.486678507992895,24.1,0.28616538385632523,30,8,11,6,5,L1,Borussia Dortmund,full
2026,Borussia Mönchengladbach,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,135100000.0,0.4877868245743893,0.2857142857142857,0.15914137675795706,0.06735751295336788,0.20207253886010362,24.775351591413767,25.82758620689655,0.25906735751295334,29,12,8,5,4,L1,Borussia M.Gladbach,full
2026,Eintracht Frankfurt,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,335950000.0,0.5988986456317904,0.20523887483256437,0.16073820509004316,0.035124274445602024,0.39365977079922604,23.183807114153893,24.5625,0.3065932430421194,32,15,8,4,5,L1,Eintracht Frankfurt,full
2026,FC Augsburg,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,159500000.0,0.41755485893416927,0.3664576802507837,0.1282131661442006,0.0877742946708464,0.05109717868338559,24.428526645768024,25.161290322580644,0.3573667711598746,31,14,9,6,2,L1,Augsburg,full
2026,FC Schalke 04,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,55525000.0,0.3043674020711391,0.3381359747861324,0.3385862224223323,0.01891040072039622,-0.033768572714993284,24.19270598829356,24.53125,0.39621791985592075,32,9,11,9,3,L1,Schalke 04,full
2026,Hamburger SV,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,86350000.0,0.3555298204979734,0.3028372900984366,0.2895193977996526,0.05211349160393746,0.05269253039953681,25.015055008685582,24.23076923076923,0.335842501447597,26,11,9,3,3,L1,Hamburger SV,full
2026,RB Leipzig,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,548800000.0,0.4784985422740525,0.29245626822157433,0.19934402332361517,0.029701166180758017,0.18604227405247814,22.746446793002914,23.393939393939394,0.32798833819241985,33,13,10,7,3,L1,RasenBallsport Leipzig,full
2026,SC Freiburg,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,285550000.0,0.33724391525126945,0.2390124321484854,0.2780598844335493,0.14568376816669584,0.09823148310278407,23.703029241814043,25.733333333333334,0.34669935212747327,30,10,11,5,4,L1,Freiburg,full
2026,SC Paderborn 07,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,38675000.0,0.18487394957983194,0.23464770523594053,0.5119586296056884,0.06851971557853911,-0.04977375565610859,23.428571428571427,23.9375,0.33613445378151263,32,10,7,12,3,L1,SC Paderborn 07,full
2026,SV 07 Elversberg,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,45100000.0,0.6241685144124168,0.20842572062084258,0.10532150776053215,0.06208425720620843,0.41574279379157425,23.1119733924612,25.678571428571427,0.3991130820399113,28,12,8,4,4,L1,SV Elversberg,full
2026,SV Werder Bremen,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,142575000.0,0.3878660354199544,0.40908293880413815,0.17885323513940032,0.0241977906365071,-0.02121690338418375,24.334736103805014,24.482758620689655,0.3997895844292478,29,12,10,4,3,L1,Werder Bremen,full
2026,TSG 1899 Hoffenheim,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,295250000.0,0.4040643522438611,0.3204064352243861,0.26248941574936496,0.013039796782387807,0.083657917019475,23.666553767993225,24.289473684210527,0.3048264182895851,38,14,14,7,3,L1,Hoffenheim,full
2026,VfB Stuttgart,,2026-07-06T11:40:11.936945+00:00,current_scrape,0,406400000.0,0.43085629921259844,0.3186515748031496,0.22268700787401574,0.02780511811023622,0.11220472440944884,24.320866141732285,24.5625,0.2952755905511811,32,12,10,6,4,L1,VfB Stuttgart,full
