season,tm_team_name,asa_team_id,observed_at,value_snapshot_type,n_prior_fill,squad_value_eur,att_value_pct,def_value_pct,mid_value_pct,gk_value_pct,tilt,value_wtd_age,avg_age,dp_value_share,n_players,n_att,n_def,n_mid,n_gk,league,canon_team_name,coverage_confidence
2024,Atlas Guadalajara,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,39150000.0,0.48531289910600256,0.2669220945083014,0.20945083014048532,0.038314176245210725,0.21839080459770116,26.291187739463602,25.214285714285715,0.2120051085568327,42,12,13,11,4,MEX1,Atlas,full
2024,Atlético de San Luis,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,50375000.0,0.4253101736972705,0.339454094292804,0.169727047146402,0.06550868486352357,0.08585607940446649,25.206451612903226,24.386363636363637,0.25806451612903225,44,18,13,8,5,MEX1,Atlético de San Luis,full
2024,CD Cruz Azul,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,108150000.0,0.34674063800277394,0.3111419325011558,0.26999537679149327,0.07212205270457697,0.035598705501618144,24.63060564031438,23.69047619047619,0.20804438280166435,42,15,14,10,3,MEX1,Cruz Azul,full
2024,CF América,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,109600000.0,0.3795620437956204,0.30269160583941607,0.2383667883211679,0.07937956204379562,0.07687043795620435,25.618841240875913,24.1,0.2281021897810219,50,17,17,11,5,MEX1,América,full
2024,CF Monterrey,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,93250000.0,0.49919571045576405,0.24986595174262735,0.2026809651474531,0.04825737265415549,0.2493297587131367,26.445040214477213,24.95744680851064,0.20911528150134048,47,16,17,9,5,MEX1,Monterrey,full
2024,CF Pachuca,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,105500000.0,0.4132701421800948,0.3360189573459716,0.1962085308056872,0.054502369668246446,0.07725118483412319,24.36398104265403,24.78181818181818,0.1895734597156398,55,27,16,8,4,MEX1,Pachuca,full
2024,Club León FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,64800000.0,0.3287037037037037,0.29012345679012347,0.31635802469135804,0.06481481481481481,0.03858024691358025,25.65625,24.94,0.2006172839506173,50,19,18,9,3,MEX1,León,full
2024,Club Necaxa,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,59950000.0,0.3502919099249375,0.32777314428690574,0.2618849040867389,0.060050041701417846,0.022518765638031735,24.968306922435364,22.183673469387756,0.2919099249374479,49,19,14,11,5,MEX1,Necaxa,full
2024,Club Tijuana,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,59900000.0,0.501669449081803,0.34140233722871455,0.12813021702838062,0.028797996661101836,0.16026711185308845,24.675292153589314,24.6,0.20534223706176963,50,15,19,9,6,MEX1,Tijuana,full
2024,Deportivo Guadalajara,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,92050000.0,0.3739815317762086,0.44350896252036937,0.11515480717001629,0.06735469853340575,-0.06952743074416079,23.92368278109723,24.304347826086957,0.20097772949483977,46,16,21,5,4,MEX1,Guadalajara,full
2024,Deportivo Toluca,,2026-07-06T01:38:15.943132+00:00,current_scrape,4,116250000.0,0.40774193548387094,0.4103225806451613,0.14365591397849461,0.038279569892473116,-0.0025806451612903625,25.193548387096776,24.659574468085108,0.2967741935483871,47,13,18,10,5,MEX1,Toluca,full
2024,FC Juárez,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,52775000.0,0.4443391757460919,0.3254381809568925,0.1752723827569872,0.054950260540028426,0.11890099478919941,25.45286594031265,24.8125,0.1989578398863098,48,16,15,13,4,MEX1,FC Juarez,full
2024,Puebla FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,35875000.0,0.39581881533101043,0.38606271777003487,0.17491289198606272,0.04320557491289199,0.009756097560975563,25.301742160278746,24.9,0.17282229965156795,50,18,17,10,4,MEX1,Puebla,full
2024,Querétaro FC,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,31125000.0,0.5437751004016064,0.25542168674698795,0.157429718875502,0.0321285140562249,0.2883534136546184,25.85301204819277,25.50980392156863,0.17670682730923695,51,24,15,7,4,MEX1,Querétaro,full
2024,Santos Laguna,,2026-07-06T01:38:15.943132+00:00,current_scrape,2,48500000.0,0.4020618556701031,0.28865979381443296,0.23711340206185566,0.07216494845360824,0.11340206185567014,24.504123711340206,23.625,0.21237113402061855,48,19,14,9,4,MEX1,Santos,full
2024,Tigres UANL,,2026-07-06T01:38:15.943132+00:00,current_scrape,0,77850000.0,0.5048169556840078,0.30700064226075785,0.1567116249197174,0.03147077713551702,0.1978163134232499,26.45343609505459,26.069767441860463,0.28901734104046245,43,13,15,9,5,MEX1,Tigres UANL,full
2024,UNAM Pumas,,2026-07-06T01:38:15.943132+00:00,current_scrape,1,65175000.0,0.3364019946298427,0.28883774453394706,0.2807825086306099,0.09397775220560031,0.047564250095895655,24.583045646336785,23.09090909090909,0.24549290372075183,44,11,17,8,7,MEX1,Pumas UNAM,full
